,B-BL,FB-NXL,FB-NL,FB-PXL,FB-PL,FB-PS,FDN-N,FDN-P,FS-NL,FBX-N,FBX-P,FST-C,FST-N,F-BE90,F-CH90,F-DU90,F-LI90,F-MX90,F-BE,F-CH,F-DU
2024-10-27,0.0,0.0,0,0,0.0,167.1666666666652,0.0,0.0,46.16666666666628,0.0,0.0,0.0,0.0,125.89999999999938,160.26666666666608,133.50000000000054,151.86666666666724,1057.0,0,0.0,0.0
2024-10-28,0.0,0.0,0,0,0.0,157.77777777777632,0.0,0.0,43.44444444444406,0.0,0.0,0.0,0.0,124.59999999999938,159.11111111111052,132.33333333333388,151.0222222222228,1030.0,0,0.0,0.0
2024-10-29,0.0,0.0,0,0,0.0,148.38888888888744,0.0,0.0,40.72222222222184,0.0,0.0,0.0,0.0,123.29999999999939,157.95555555555495,131.16666666666723,150.17777777777837,1003.0,0,0.0,0.0
2024-10-30,0.0,0.0,0,0,0.0,138.99999999999855,0.0,0.0,37.999999999999616,0.0,0.0,0.0,0.0,121.99999999999939,156.7999999999994,130.00000000000057,149.33333333333394,976.0,0,0.0,0.0
2024-10-31,0.0,0.0,0,0,0.0,129.61111111110966,0.0,0.0,35.277777777777395,0.0,0.0,0.0,0.0,120.69999999999939,155.64444444444382,128.8333333333339,148.4888888888895,949.0,0,0.0,0.0
2024-11-01,0.0,0.0,0,0,0.0,120.22222222222078,0.0,0.0,32.55555555555517,0.0,0.0,0.0,0.0,119.3999999999994,154.48888888888825,127.66666666666724,147.64444444444507,922.0,0,0.0,0.0
2024-11-02,0.0,0.0,0,0,0.0,110.8333333333319,0.0,0.0,29.833333333332952,0.0,0.0,0.0,0.0,118.0999999999994,153.3333333333327,126.50000000000057,146.80000000000064,895.0,0,0.0,0.0
2024-11-03,0.0,0.0,0,0,0.0,101.44444444444301,0.0,0.0,27.11111111111073,0.0,0.0,0.0,0.0,116.7999999999994,152.17777777777712,125.3333333333339,145.9555555555562,868.0,0,0.0,0.0
2024-11-04,0.0,0.0,0,0,0.0,92.05555555555412,0.0,0.0,24.38888888888851,0.0,0.0,0.0,0.0,115.4999999999994,151.02222222222156,124.16666666666723,145.11111111111177,841.0,0,0.0,0.0
2024-11-05,0.0,0.0,0,0,0.0,82.66666666666524,0.0,0.0,21.666666666666288,0.0,0.0,0.0,0.0,114.1999999999994,149.866666666666,123.00000000000055,144.26666666666733,814.0,0,0.0,0.0
