,B-BS,B-NL,B-PS,FB-NXL,FDN-N,FDN-P,FS-NL,FS-PL,FBX-N,FBX-P,F-BE90,F-CH90,F-MX90,F-PB
2024-03-03,0.0,172.0000000000001,173.0,186.00000000000026,332.9999999999998,338.9999999999997,140.96666666666675,172.9999999999999,147.99999999999935,157.99999999999932,83.00000000000003,86.96666666666668,574.999999999999,0.0
2024-03-04,0.0,170.96666666666678,171.5,184.26666666666694,327.9333333333331,333.93333333333305,138.4000000000001,170.53333333333322,146.19999999999933,156.23333333333264,81.93333333333337,86.20000000000002,561.1666666666656,0.0
2024-03-05,0.0,169.93333333333345,170.0,182.53333333333362,322.86666666666645,328.8666666666664,135.83333333333343,168.06666666666655,144.39999999999932,154.46666666666596,80.8666666666667,85.43333333333335,547.3333333333322,0.0
2024-03-06,0.0,168.90000000000012,168.5,180.8000000000003,317.7999999999998,323.7999999999997,133.26666666666677,165.59999999999988,142.5999999999993,152.69999999999928,79.80000000000004,84.66666666666669,533.4999999999989,0.0
2024-03-07,0.0,167.8666666666668,167.0,179.06666666666698,312.7333333333331,318.73333333333306,130.7000000000001,163.1333333333332,140.7999999999993,150.9333333333326,78.73333333333338,83.90000000000002,519.6666666666655,0.0
2024-03-08,0.0,166.83333333333346,165.5,177.33333333333366,307.66666666666646,313.6666666666664,128.13333333333344,160.66666666666654,138.9999999999993,149.16666666666592,77.66666666666671,83.13333333333335,505.8333333333322,0.0
2024-03-09,0.0,165.80000000000013,164.0,175.60000000000034,302.5999999999998,308.59999999999974,125.56666666666678,158.19999999999987,137.19999999999928,147.39999999999924,76.60000000000005,82.36666666666669,491.99999999999886,0.0
2024-03-10,0.0,164.7666666666668,162.5,173.86666666666702,297.53333333333313,303.5333333333331,123.00000000000011,155.7333333333332,135.39999999999927,145.63333333333256,75.53333333333339,81.60000000000002,478.16666666666555,0.0
2024-03-11,0.0,163.73333333333346,161.0,172.1333333333337,292.46666666666647,298.4666666666664,120.43333333333345,153.26666666666654,133.59999999999926,143.86666666666588,74.46666666666673,80.83333333333336,464.33333333333223,0.0
2024-03-12,0.0,162.70000000000013,159.5,170.40000000000038,287.3999999999998,293.39999999999975,117.86666666666679,150.79999999999987,131.79999999999924,142.0999999999992,73.40000000000006,80.06666666666669,450.4999999999989,0.0
2024-03-13,0.0,161.6666666666668,158.0,168.66666666666706,282.33333333333314,288.3333333333331,115.30000000000013,148.3333333333332,129.99999999999923,140.33333333333252,72.3333333333334,79.30000000000003,436.6666666666656,0.0
